SN,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,TEMPERATURE,VISIBILITY_METERS,WIND_SPEED_MPH,CLOUDS_PERCENT,RAIN1H_MM,RAIN3H_MM,SNOW1H_MM,SNOW3H_MM
0,04-17-2022 17:23:39,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
1,04-17-2022 17:23:40,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
2,04-17-2022 17:23:41,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
3,04-17-2022 17:23:43,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
4,04-17-2022 17:23:44,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
5,04-17-2022 17:23:45,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
6,04-17-2022 17:23:46,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
7,04-17-2022 17:23:47,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
8,04-17-2022 17:23:49,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
9,04-17-2022 17:23:50,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
10,04-17-2022 17:23:51,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
11,04-17-2022 17:23:52,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
12,04-17-2022 17:23:54,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
13,04-17-2022 17:23:55,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
14,04-17-2022 17:23:56,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
15,04-17-2022 17:23:57,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
16,04-17-2022 17:23:58,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
17,04-17-2022 17:24:00,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
18,04-17-2022 17:24:01,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
19,04-17-2022 17:24:02,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
20,04-17-2022 17:24:03,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
21,04-17-2022 17:24:04,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
22,04-17-2022 17:24:06,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
23,04-17-2022 17:24:07,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
24,04-17-2022 17:24:08,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
25,04-17-2022 17:24:09,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
26,04-17-2022 17:24:11,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
27,04-17-2022 17:24:12,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
28,04-17-2022 17:24:13,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
29,04-17-2022 17:24:14,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
30,04-17-2022 17:24:15,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
31,04-17-2022 17:24:17,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
32,04-17-2022 17:24:18,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
33,04-17-2022 17:24:19,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
34,04-17-2022 17:24:20,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
35,04-17-2022 17:24:21,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
36,04-17-2022 17:24:23,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
37,04-17-2022 17:24:24,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
38,04-17-2022 17:24:25,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
39,04-17-2022 17:24:26,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
40,04-17-2022 17:24:28,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
41,04-17-2022 17:24:29,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
42,04-17-2022 17:24:30,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
43,04-17-2022 17:24:31,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
44,04-17-2022 17:24:32,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
45,04-17-2022 17:24:34,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
46,04-17-2022 17:24:35,33.0012,-96.647,800,clear sky,78.37,10000,12.66,0,No Result,No Result,No Result,No Result
